name,rating,genre,release_year,movie_runtime,imdb_link
American History X,8.5,Prison Drama / Psychological Drama / Tragedy / Crime / Drama / Character development / Cinematography / Performance / Thought-provoking / Family dynamics / Social commentary / Uneven quality,1998,1h 59m,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_42
Léon: The Professional,8.5,Gangster / One-Person Army Action / Action / Crime / Drama / Thriller / Action sequences / Atmospheric / Authentic emotion / Character development / Chemistry / Cinematography / Dramatic tension / Performance / Standout performance,1994,1h 50m,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_43
Spider-Man: Across the Spider-Verse,8.5,Computer Animation / Superhero / Supernatural Fantasy / Teen Adventure / Urban Adventure / Action / Adventure / Animation / Family / Fantasy / Action sequences / Animation style / Emotional stakes / Soundtrack / Technical achievement / Visual innovation / Character development / Family dynamics / Pacing,2023,2h 20m,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_44
Casablanca,8.5,Psychological Drama / Drama / Romance / War / Cinematography / Comedic brilliance / Dramatic depth / Enduring legacy / Great ensemble / Iconic lines / Romantic,1942,1h 42m,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_45
The Usual Suspects,8.5,Caper / Gangster / Heist / Psychological Drama / Psychological Thriller / Suspense Mystery / Whodunnit / Crime / Drama / Mystery / Atmospheric / Character development / Chemistry / Direction / Narrative complexity / Performance / Standout performance / Suspenseful / Confusing / Thin story,1995,1h 46m,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46
Cinema Paradiso,8.5,Coming-of-Age / Drama / Romance / Authentic emotion / Character development / Cinematography / Escapism / Family dynamics / Friendship / Performance / Soundtrack / Bittersweet / Pacing,1988,2h 54m,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_47
The Intouchables,8.5,Docudrama / Comedy / Drama / Authentic emotion / Character development / Chemistry / Comedic brilliance / Friendship / Heartfelt / Inspirational / Performance / Soundtrack / Social commentary,2011,1h 52m,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48
Alien,8.5,Alien Invasion / Body Horror / Cyberpunk / Monster Horror / Space Sci-Fi / Tragedy / Horror / Sci-Fi / Atmospheric / Creature design / Direction / Enduring legacy / Practical effects / Production design / Sound design / Standout performance / Suspenseful,1979,1h 57m,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_49
Modern Times,8.5,Romantic Comedy / Satire / Slapstick / Comedy / Drama / Romance / Authentic emotion / Comedic brilliance / Enduring legacy / Physical comedy / Romantic / Human experience / Social commentary / Symbolism / Dystopian elements,1936,1h 27m,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50
Rear Window,8.5,Psychological Thriller / Suspense Mystery / Drama / Mystery / Thriller / Atmospheric / Cinematography / Comedic brilliance / Direction / Performance / Suspenseful / Technical achievement / Thrilling / Social commentary,1954,1h 52m,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51
Once Upon a Time in the West,8.5,Desert Adventure / Epic / Spaghetti Western / Western Epic / Drama / Western / Atmospheric / Authentic emotion / Cinematography / Direction / Dramatic tension / Narrative complexity / Performance / Soundtrack / Visual spectacle,1968,2h 46m,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52
